English,Latin_Lemma
opposed; opposite; towards,adversus
to hit,ferio
"to break, shatter",frango
oar,remus
the extreme forward part of a ship; the prow,prora
heap; flood,cumulus
to burst or break off in front; p.,praerumpo
water,aqua
above,superus
to hang,pendeo
to gape,dehisco
"between, among; during",inter
to open,aperio
"heat; wave, tide",aestus
"sand, arena",arena
3,tres
to take away violently,abripio
"rock, boulder, stone",saxum
"to lie hidden, be hidden",lateo
to twist,torqueo
to call,voco
Italian,Italus
"middle, in the middle, in half",medius
"Aras (""the Altars"")",Ara
the back,dorsum
"huge, monstrous",immanis
"short, brief",brevis
sand–bank or shoal in the sea; esp.,syrtis
to press,urgeo
"deplorable, deserving to be pitied",miserabilis
to see,video
to dash upon,inlido
ford; shallow,vadum
"mound, rampart",agger
to surround,cingo
Lycian,Lycius
"faithful, trustworthy",fidus
to carry,veho
Orontes,Orontes
"whirlpool; peak, summit",vertex
to shake off,excutio
sloping; easy,pronus
"master, chief, teacher",magister
head,caput
in the same place,ibidem
to swallow up,voro
"to appear, become visible",appareo
"loose, thin",rarus
to swim,no
whirlpool,gurges
"plank, (game) board; painting; writing tablet",tabula
of Troy; Trojan,Troius
"a treasure, royal treasury",gaza
strong,validus
Ilioneus,Ilioneus
ship,navis
Achates,Achates
Abas,Abas
very aged,grandaevus
Aletes,Aletes
winter,hiems
joining; fastening,compages
to receive,accipio
rain,imber
cleft; crack,rima
to come apart; to open,fatisco
meanwhile,interea
"to mix, mingle",misceo
to send out,emitto
to perceive,sentio
Neptunus,Neptunus
standing water,stagnum
to pour back or up; cast,refundo
heavily,graviter
"to shake, move away",commoveo
"to see in front, inspect",prospicio
pleasant,placidus
to lift up; (fig.),extollo
to press on,opprimo
collapse,ruina
"artifice, device, trick",dolus
brother,frater
Zephyr (name); or west wind,Zephyrus
then next,dehinc
"to speak, say",for
you (plural),vos
trust,fiducia
your,vester
"my, mine",meus
without (+abl.),sine
to dare,audeo
to move,moveo
to be outstanding,praesto
"to build, arrange, bury, calm down",compono
after (adv. and prep. +acc.),post
similar,similis
punishment,poena
an offense,commissum
"to satisfy, pay for",luo
to hasten,maturo
"flight, escape",fuga
sea,pelagus
three–pronged; a trident,tridens
fate,sors
"house, home",domus
"forecourt, palace",aula
to close,claudo
to rule,regno
"to say, affirm, say yes",aio
word; saying,dictum
quickly,cito
swollen,tumidus
to soothe,placo
to collect,colligo
to put to flight,fugo
sun,sol
to bring back,reduco
Cymothoe,Cymothoe
at the same time,simul
Triton,Triton
to press upon; (with dat.),adnitor
to thrust down or away; push off from,detrudo
to raise; make light,levo
wheel,rota
"light, trivial",levis
to glide through or over,perlabor
often,saepe
to arise,coorior
revolt,seditio
to rage,saevio
unknown,ignobilis
common people,vulgus
torch,fax
to fly,volo
madness,furor
"to attend, serve",ministro
heavy,gravis
by chance,forte
"to catch sight of, behold",conspicio
to be silent,sileo
to raise up; erect; bristle up,arrigo
ear,auris
to stand near,asto
to rule,rego
all,cunctus
to fall,cado
breaking,fragor
after,postquam
father,genitor
to carry into or forward; (pass.),inveho
to bend,flecto
horse,equus
"thong, strap",lorum
"following, second",secundus
"weary, exhausted",defessus
a son of Aeneas,Aeneades
near (prep. + acc.),prope
"course, advance",cursus
"to strain, exert",contendo
"to seek, go towards",peto
going apart; retreat,secessus
island; apartment block,insula
port,portus
"carry out, accomplish",efficio
throwing against; projection,obiectus
"fold, pocket, chest",sinus
"to cut, rend, tear asunder",scindo
drawn back,reductus
rock,rupes
twin,geminus
to threaten,minor
safe,tutus
"stage, piece of theatrical behavior; scene",scaena
"vibrating, gleaming",coruscus
from above,desuper
"grove, forest",nemus
to threaten; overhang,immineo
shadow,umbra
forehead,frons
"within, inside",intus
sweet,dulcis
alive,vivus
bench,sedile
tired,fessus
any,ullus
"hooked, crooked",uncus
to tie or bind to; hold fast,adligo
an anchor,ancora
bite,morsus
"to here, hither",huc
"number, amount",numerus
to go under,subeo
love,amor
desired,optatus
to obtain,potior
to melt; drip,tabeo
"limb, leg",artus
to place,pono
first,primum
flint,silex
spark,scintilla
to strike out,excudo
to take up,suscipio
leaf,folium
dry,aridus
nourishment; fuel,nutrimentum
kindling stuff; fuel,fomes
wheat; Ceres,Ceres
"to destroy, ruin",corrumpo
pertaining to Ceres,Cerealis
to set free; (impersonal) be useful,expedio
"matter, business, affair, thing",res
fruit,frux
to take back,recipio
"to burn, boil",torreo
to prepare,paro
to ascend,conscendo
looking forth,prospectus
Antheus (name),Antheus
Phrygian; a territory in Asia minor; Trojan,Phrygius
boat with two oars,biremis
Capys,Capys
Caicus,Caicus
"not any, no",nullus
stag,cervus
herd,armentum
"to follow, come next",sequor
the back of men or animals,tergum
valley,valles
"to feed, nourish",pascor
"to take position; , halt, stand",consisto
"bow, arch",arcus
hand; band of men,manus
swift,celer
arrow,sagitta
leader,ductor
horn,cornu
"pertaining to trees, branching",arboreus
to spread,sterno
"even, also",et
formed of leaves,frondeus
"crowd, uproar",turba
to stand off or away from,absisto
before,priusquam
"conqueror, victor",victor
"to pour, scatter",fundo
ground,humus
"to make level, equalize",aequo
"ally, comrade",socius
"to divide, share",partior
wine,vinum
good,bonus
"then, next",deinde
jar; wine–jar,cadus
"to load, burden",onero
Acestes,Acestes
Sicilian,Trinacriaus
to go away,abeo
demigod; hero,heros
"to divide, separate",divido
to be sorrowful,maereo
and not; neither … nor …,neque
ignorant,ignarus
"evil, calamity",malum
"end, boundary",finis
pertaining to Scylla,Scyllaeus
madness,rabies
internally,penitus
sounding,sonans
"to approach, be added, be included",accedo
pertaining to the Cyclops,Cyclopius
"to test, try, experience",experior
to call back,revoco
"sad, depressing",maestus
fear,timor
"to send; release, let go",mitto
perhaps,forsan
"to remember, recollect",memini
to help; please,iuvo
varied,varius
"division, crisis, difference",discrimen
"at rest, free from exertion, inactive, in repose",quietus
to show,ostendo
there,illic
"to rise again, reappear",resurgo
"to harden, endure",duro
"care, concern",cura
sick,aeger
hope,spes
expression,vultus
to imitate,simulo
