English,Latin_Lemma
"contest, struggle",certamen
great–grandfather; ancestor,proavus
Curetes,Curetes
to glide to; (with dat.,adlabor
to love,amo
fireplace,focus
almost,fere
to work; be occupied with,operor
"melting away, emaciated",tabidus
dragging,tractus
to be pitied,miserandus
pestilence,lues
death–bringing,letifer
"unproductive, unfruitful",sterilis
Sirius,Sirius
to be dry; wither,areo
"to beg, pray",precor
animal,animal
to fasten or put in; insert,insero
"to carry away; report, confer",defero
to measure completely; traverse,permetior
of Delos; Delian,Delius
Dardanus,Dardanus
Iasius,Iasius
"to hesitate, doubt",dubito
Corythus,Corythus
Ausonius; Italian,Ausonius
of Dicte,Dictaeus
astonished,attonitus
vision,visum
on the back,supinus
"to complete, accomplish",perficio
"to deceive, cheat",decipio
to stretch,portendo
"to shout, celebrate an ovation (a lesser triumph)",ovo
above (adv. and prep. +acc.),supra
to be rough; of the sea,inhorresco
"immediately, continuously",continuo
to sprinkle,dispergo
to take away; make cuts,aufero
to distinguish one thing from another; determine,discerno
Palinurus,Palinurus
mist,caligo
4; 4th,quattuor
to rise to; w. dat.,insurgo
sailor,nauta
Strophades,Strophades
"Ionic, Ionian",Ionius
Celaeno,Celaeno
Harpyia,Harpyia
pertaining to Phineus,Phineius
Stygian; pertaining to Styx (river),Stygius
bird,volucris
foul,foedus
flowing forth; excrement,proluvies
to enter,intro
pertaining to goats,caprigenus
to build up; erect; raise,exstruo
to banquet,epulor
"terrible, fear–inducing",horrificus
touching together or upon; touch,contactus
"unclean, foul",immundus
"disagreeable, vile",taeter
"to make known, proclaim",edico
"to place, arrange, distribute",dispono
lookout; watch–tower,specula
Misenus,Misenus
filthy; ill-boding,obscenus
"feather, down",pluma
half–eaten,semesus
"very high, lofty",praecelsus
"young bull, bullock",iuvencus
Laomedontiades,Laomedontiades
to say beforehand; foretell,praedico
a fury,furia
before,antequam
to eat round; to consume,ambedo
cheek,mala
"wing, feather",penna
to grow completely stiff; to be cold,derigesco
to ask importunately; to beg,exposco
threats; battlements,minae
"to snatch away, tear down",deripio
helmsman,gubernator
woody,nemorosus
Zacynthus (island),Zacynthus
Dulichium,Dulichium
Same,Same
Neritos,Neritos
Ithaca,Ithaca
of Laertes (father of Ulysses),Laertius
nurse; mother,altrix
to curse bitterly; execrate,exsecror
soon; then,mox
Leucata (promontory),Leucates
point,cacumen
to be in dread; to dread,formido
to throw,iacio
unhoped for,insperatus
pertaining to Actium,Actius
game,ludus
olive oil,oleum
place for wrestling or exercise,palaestra
to roll round; (pass.),circumvolvo
icy,glacialis
to make rough; raise,aspero
that which is carried; equipment,gestamen
cross–timber; thwart,transtrum
pertaining to the air,aerius
Phaeaces,Phaeaces
to put out of sight,abscondo
Epiros or Epirus (region),Epiros
of Chaonia; Chaonian,Chaonius
Buthrotum,Buthrotum
incredible,incredibilis
to seize; anticipate,occupo
Priamides,Priamides
Helenus,Helenus
husband,maritus
to go forward,progredior
turf,caespes
to frighten; alarm,exterreo
warmth,calor
to bring to,affero
to gape,hisco
"to throw down, eject",deicio
"hanging down, modest",demissus
hostile,hostilis
drawing of lots; allotment,sortitus
"an owner, master",erus
"couch, bed",cubile
of Achilles; Achillean,Achilleus
haughtiness,fastus
"to struggle, strive, give birth to",enitor
pertaining to Leda,Ledaeus
Hermione,Hermione
Lacedaemonian; Spartan,Lacedaemonius
to send across; bear or convey across or over,transmitto
Orestes,Orestes
Chaonia,Chaonia
Chaon,Chaon
who?,quisnam
whether any,ecquis
anyone? anything?,ecquid
manly,virilis
maternal uncle,avunculus
in vain,incassum
"brook, stream",rivus
to enjoy,fruor
middle,medium
to blow into; fill,inflo
linen,carbasus
to beg,quaeso
of Trojan descent,Troiugena
an agent between parties; a mediator,interpres
three–footed vessel or seat; tripod,tripus
of Claros (town); Clarian,Clarius
"hastening before, swift, fleet",praepes
"favorable, auspicious, successful",prosper
replaced; treasured up,repositus
prognostic,prodigium
to denounce,denuntio
"to pray effectually; entreat, prevail upon",exoro
divination; authority,auspicium
that,quo
welcoming,hospitus
to make flexible; of oars,lento
"lower, that which lies beneath",infernus
of Aeaea (island); Aeaean or Colchian,Aeaeus
Circe,Circe
worried,sollicitus
"littoral, of the seashore",litoreus
the holm–oak,ilex
to be lying back or down; recline; be extended; lie,recubo
repose,requies
of Naryx,Narycius
Locrian; of or from Locri,Locrus
of or from the Sallentini,Sallentinuus
of Lyctus (town); Lyctian; Cretan,Lyctius
of Meliboea,Meliboeus
Philoctetes,Philoctetes
Petelia,Petelia
across,trans
to cover up,adoperio
pure,castus
"to move to, bring to",admoveo
to become thin; to part or begin to stand open; to open,raresco
Pelorus,Pelorus
"circuit, circle",circuitus
remote (in time or space),longinquus
age,vetustas
to spring apart; burst asunder; be rent asunder,dissilio
to tear off,abscindo
"to draw apart, separate",diduco
to wash between; flow between,interluo
Scylla,Scylla
unappeased,implacatus
Charybdis,Charybdis
an abyss,barathrum
to suck; absorb,sorbeo
"to set up, erect",erigo
one after the other,alternus
"to whip, flog, beat",verbero
to hold together,cohibeo
to stretch or thrust forth,exserto
next,posterus
sea monster,pistrix
dolphin,delphinus
"the tail, coda",cauda
Pachynum,Pachynus
to bend around; turn far round,circumflecto
"than; as, how",quam
once,semel
shapeless; deprived of beauty,informis
dog,canis
to resound,resono
foresight,prudentia
willing,libens
the three–cornered land,Trinacria
Cumaean; of Cumae,Cumaeus
Avernus (lake),Averna
"mark, note",nota
"to describe, transcribe",describo
but indeed,verum
to fly around,volito
situation,situs
without advice,inconsultus
Sibylla,Sibylla
"expenditure, loss",dispendium
willing,volens
elephant,elephantus
"to command, control",impero
of Dodona; Dodonaean,Dodonaeus
kettle or caldron,lebes
leather corselet; corselet of any material; hauberk,lorica
hook,hamus
"of three threads, triple",trilix
cone; the metallic point or apex of helmet,conus
crest,crista
to fill up; to supply,suppleo
to consider worthy,digno
Ausonia,Ausonia
"to snatch, seize",arripio
to glide,praeterlabor
necessary (indeclinable),necesse
beyond (adv. and prep. +acc.),ultra
going away; departure,digressus
adorned with painting; embroidered,picturatus
that which is woven under or passed under or across the warp in weaving; the cross thread,subtemen
mantle or cloak of woolen cloth,chlamys
woven,textilis
"equal, of the same age",aequalis
to be growing up,pubesco
"to arise, appear",oborior
to finish,perago
near by birth,cognatus
Ceraunia,Ceraunia
to overshadow,umbro
hour,hora
slow,segnis
"to seize, hunt for legacies",capto
"to mark, sign, censure",noto
"to agree, remain unchanged, stand firm",consto
to grow or turn red; begin to glow,rubesco
humble,humilis
to greet,saluto
to become frequent,crebresco
south–eastern,Eurous
to bend,curvo
sprinkling upon; spray,aspargo
craggy or pointed rock,cautes
turreted,turritus
shining,candor
snowy,nivalis
to become accustomed,suesco
"four–footed, on all fours; a horse",quadrupes
"bridle, reins",frenum
of one mind,concors
with resounding arms,armisonus
connected,continuus
to turn towards,obverto
sail yard,antenna
Graiugena,Graiugena
of Hercules; Herculean,Herculeus
Tarentum,Tarentum
of Lacinium,Lacinius
Caulon,Caulon
shipwrecking,navifragus
Scylaceum,Scylaceum
Aetna,Aetna
to hit,pulso
undoubtedly,nimirum
to send forth a loud,rudo
"cohort, band, troop",cohors
to sink down,desido
"to crush, kill, dash forth",elido
to be moist with dew; (fig.),roro
Cyclops,Cyclops
going near to,accessus
to thunder,tono
"pitch–black, of pitch",piceus
"to shine, to be brillant",candeo
ashes,favilla
any body of a spherical form; a globe,globus
to belch out; to vomit,eructo
dissolve; melt,liquefacio
to boil up,exaestuo
Enceladus,Enceladus
half–burned,semustus
stove; furnace; forge,caminus
how many times; whenever,quotiens
to tremble,intremo
to weave beneath; to veil or cover from below; cover,subtexo
"bright, shining",lucidus
the cloudless air; serene sky; heaven,aethra
starry,sidereus
rain clouds,nubila
unseasonable; unpleasant; gloomy,intempestus
"Eous, the dawn god",Eous
"to be wet, moist",umeo
to move apart or away; remove,dimoveo
emaciation,macies
to finish,conficio
"cultivation, civilization, dress, mode of life",cultus
that which is deposited by washing; dirt,inluvies
thorn,spina
adv. (n. pl. of ceterus,cetera
a little,paulum
to frighten greatly; terrify,conterreo
"vital, breathable",spirabilis
to lead/take away,abduco
of Danaus,Danaus
to plunge into,immergo
pledge,pignus
to put down,depono
Achaemenides,Achaemenides
Adamastus,Adamastus
easy to be approached,adfabilis
to sprinkle upon,aspergo
to swim,nato
to chew,mando
tooth,dens
with impunity,impune
moreover,quidem
to bend,inflecto
to mix together,commisceo
stern; wild,torvus
pertaining to Phoebeus or Apollo,Phoebeus
light,lampas
Polyphemus,Polyphemus
wool–bearing,laniger
to press hard; squeeze,presso
commonly,vulgo
purifying atonement; the national lustrum or atoning sacrifice,lustrum
to begin to tremble; to tremble,tremesco
berry; pearl,baca
stony,lapidosus
the cornel cherry or cornel berry,cornum
to cast light upon; to look at,conlustro
to pronounce for; to sell,addico
"rather, more",potius
to take away,adimo
stripped of its branches,truncus
pine tree,pinus
sheep,ovis
pleasure,voluptas
means of consoling; solace,solamen
"flowing, running",fluidus
to wash,lavo
to gnash,infrendeo
to cut into; cut upon; cut,incido
"to strive after, grasp at",adfecto
power,potestas
powerful (indeclinable),potis
to bellow within; roar,immugio
"to summon, rouse up or forth; call forth",excio
of Aetna; Aetnaean,Aetnaeus
an oak tree,quercus
cone–bearing,conifer
cypress,cyparissus
"linen cloth, napkin; sailcloth; a sail",linteum
the god of the North Wind,Boreas
to go by; pass,praetervehor
Pantagias,Pantagias
of or belonging to Megara,Megarus
Thapsus,Thapsus
to gather again; pass by,relego
"backwards, back",retrorsus
Sicilian; Sicanian,Sicanus
to hold out before; stretch forth,praetendo
Plemyrium,Plemyrium
"billowy, stormy",undosus
Alpheus River,Alpheus
Elis,Elis
"below, beneath (+acc and abl.)",subter
Arethusa,Arethusa
to pour together,confundo
very fat,praepinguis
to be stagnant,stagno
Helorus,Helorus
projecting,proiectus
"to shave, scratch; inscribe",rado
Camarina,Camarina
belonging to Gela; of Gela,Gelous
Gela,Gela
Acragas,Acragas
to display,ostento
one who begets; a breeder,generator
full of palm trees,palmosus
Selinus,Selinus
of Lilybaeum,Lilybeius
Drepanum,Drepanum
joyless,inlaetabilis
an alleviation; relief,levamen
to relate again; recount,renarro
vein,vena
of one mind,unanimus
sound,sanus
Anna,Anna
sleeplessness (usually plural); a dream,insomnium
to declare; accuse,arguo
yoked,iugalis
to it wearies,pertaedet
torch,taeda
to fall down; succumb,succumbo
fraternal,fraternus
feeling,sensus
"to drive to, force to",adigo
to be pale,palleo
Erebus,Erebus
decency,pudor
continuous,perpetuus
Iarbas,Iarbas
Africa,Africa
agreeable,placitus
to fight,pugno
Gaetulus,Gaetulus
that can not be surmounted,insuperabilis
a Numidian (a tribe in northern Africa),Numida
unbridled; riding without bridle,infrenus
unfriendly,inhospitus
shoals on the N. African coast between Carthage and Cyrene,Syrtis
thirst,sitis
of or from the Barcaei,Barcaeus
to bind,innecto
to rage furiously; rage,desaevio
"abounding in water, rainy",aquosus
"indulgent, yielding",tractabilis
ample,impensus
"to ignite, set on fire",inflammo
"mattock, hoe",bidens
law–bringing,legifer
cow,vacca
to walk about,spatior
to gape at or over; inspect,inhio
"to consult, plan",consulo
entrails,exta
to eat,edo
marrow; middle,medulla
hind,cerva
Cretan,Cressus
"able to fly, fleeting",volatilis
pasture,saltus
"deadly, fatal",letalis
"reed, stick",harundo
in turn,vicissim
defense,propugnaculum
to break asunder; interrupt,interrumpo
as soon as,simulac
to feel deeply; feel,persentio
to agree,paciscor
pertaining to a dowry,dotalis
"to refuse, deny",abnuo
to prefer,malo
to approve,probo
to be brought together,confio
"to hunt, go hunting",venor
pertaining to tomorrow,crastinus
"birth, rising",ortus
a Titan,Titan
ray; beam,radius
black,nigrans
hail,grando
an inclosing or surrounding of the woods with the hunting nets; toils,indago
to pour into or upon,infundo
thunder,tonitrus
desire,voluntas
to be against,adversor
to laugh,rideo
to find out,reperio
brightness,iubar
"net, trap",rete
"net, snare",plaga
hunting–spear,venabulum
Massylian; Libyan,Massylus
horseman,eques
keen–scented,odorus
to delay,cunctor
(noisy–hoofed) horse,sonipes
border,limbus
to tie with a knot; bind,nodo
clasp,fibula
Lycia,Lycia
stream,fluentum
Delos (island),Delos
maternal,maternus
to come,inviso
Cretan,Cres
Dryopes,Dryopes
of or from the Agathyrsi,Agathyrsus
to shine forth,eniteo
she–goat; a goatish smell,capra
open; broad,patens
"covered with dust, dusty",pulverulentus
to go by,praetereo
aiding in marriage rites; presiding over marriage; bridal–,pronuba
to shine,fulgeo
"secret, furtive",furtivus
"to cover over, protect",praetego
fast,velox
moveableness; swiftness,mobilitas
to seek in addition,adquiro
to exasperate,inrito
to hold persistently; maintain,perhibeo
Coeus,Coeus
to beget; bear,progigno
agile,pernix
to raise up,subrigo
to turn down or away; of the eyes,declino
to fill with alarm; affright,territo
falsehood,fictum
crooked,pravus
tenacious,tenax
messenger,nuntia
"having many folds, manifold",multiplex
not done; unworked,infectus
"turn away; turn aside, sway (opinions, etc.)",detorqueo
to pile up,aggero
Zeus Ammon,Hammon
"Garamantian, of the Garamantes (tribe)",Garamantis
"the keeping of a watch, a watch",excubiae
to bloom,floreo
rumor,rumor
bitter; harsh,amarus
"Moorish, Mauretanian",Maurusius
Lenaeus,Lenaeus
to affright,terrifico
"small, little",exiguus
"price, value, payment",pretium
half man,semivir
an accompanying or following; a suite,comitatus
of Maeonia,Maeonius
chin,mentum
headband; turban,mitra
"to be wet, be damp",madeo
plunder,raptum
Mercurius,Mercurius
for this reason,ideo
to claim,vindico
heavy,gravidus
to envy (+ dat.),invideo
"peak, sum",summa
sandals; winged sandals,talaria
"gust, blast (of wind)",flamen
stick,virga
"to call out, summon",evoco
"the infernal regions, Tartarus, the underworld",Tartarus
to unseal; (fig.),resigno
leaning on,fretus
"confused, fould",turbidus
to swim or sail across,trano
"to strengthen, fortify, reinforce",fulcio
"perpetually, constantly",adsidue
pine–bearing,pinifer
snow,nix
old man,senex
ice,glacies
Cyllenian,Cyllenius
bird,avis
abounding in fish,piscosus
sandy,harenosus
winged,alatus
"a sprout, twig; sole of the foot",planta
to found,fundo
"to make new, renew",novo
to cover over with stars; to stud with stars; p.,stello
precious stone of greenish hue; jasper,iaspis
the murex or purple fish; a sharp–pointed shellfish from which was obtained the Tyrian purple; (meton.),murex
an upper garment; cloak,laena
web,tela
pertaining to a wife; subservient to a wife,uxorius
"order, commission",mandatum
"to rub, wear away; use up",tero
leisure,otium
heir,heres
to disappear,evanesco
to become speechless or dumb; to be silent,obmutesco
an admonition,monitus
"to go round; strive for, aim at; encompass",ambio
speaking to; address,adfatus
beginning; origin,exordium
there,illuc
to do by turns; to alternate (attack) by turns; weigh or consider one thing after another,alterno
Mnestheus,Mnestheus
swifter,ocior
to do effectively; perform,facesso
to feel beforehand,praesentio
"motion, movement",motus
"lacking, poor",inops
Thyias,Thyias
to spur; to rouse,stimulo
triennial,trietericus
the rites of Bacchus,orgia
nocturnal,nocturnus
Cithaeron,Cithaeron
"faithless, treacherous, false",perfidus
"to move away, withdraw",decedo
"strange, unrelated, another's",alienus
because of,propter
nomas,nomas
ready to die,moribundus
since,quoniam
to destroy,destruo
shoot; twig,suboles
very small,parvulus
entirely,omnino
an admonition; counsel; advice,monitum
to press (+ dat.),obnitor
to count out or completely; enumerate,enumero
to merit for one's self by favors given; deserve,promereor
to it disgusts,piget
Elissa ae,Elissa
breath; spirit,spiritus
theft,furtum
free will,spons
falling back; returning; rebuilt,recidivus
of Grynia (town); Gryneian,Gryneus
"to cover, hide",operio
fiery,igneus
"to admonish, remind",admoneo
"to defraud, cheat, act illegally",fraudo
"to leave off, cease",desino
complaint,querela
voluntarily,sponte
Caucasus,Caucasus
of or from Hyrcanus,Hyrcanus
tiger,tigris
to reserve,reservo
whether,num
to bear before; to prefer,antefero
seer,augur
to stir up,sollicito
"to disparage, refute",refello
punishment,supplicium
to lead apart or away; to separate,seduco
to slip or fall together; fail; sink down,conlabor
of marble,marmoreus
to cause to totter or waver; p.,labefacio
"to follow, accomplish, persist",exsequor
to anoint,unguo
"unwrought, unfashioned",infabricatus
"to go, depart",migro
an ant,formica
spelt,far
"heap, pile",acervus
to carry,convecto
path,callis
full–grown; large,grandis
to thrust,trudo
grain; crops,frumentum
to chastise,castigo
unacquainted with,inexpertus
Aulis,Aulis
"to swear, take an oath",iuro
to pull back; pluck out,revello
space,spatium
"to heap up, pile on",cumulo
to build before or against; to stop,obstruo
"aged, old",annosus
pertaining to the Alps,Alpinus
blowing; wind; blast,flatus
from there,illinc
to strew over; cover,consterno
"established, steady",assiduus
to it makes (one) tired,taedet
incense–burning,turicremus
to become or turn black; grow dark,nigresco
marble,marmor
fleece,vellus
pertaining to the dead,feralis
owl,bubo
thing foretold; prediction,praedictum
terrifying,terribilis
to make rough; make to shudder; terrify,horrifico
Eumenides,Eumenides
Pentheus (name),Pentheus
Thebes,Thebae
Dira,Dira
"to produce, conceive",concipio
"to determine, decide",decerno
to wish joy to; w. dat. (the acc. is doubtful),grator
"of or belonging to Ethiopia, Ethiopian",Aethiops
"fitted to, appropriate, fitting",aptus
Hesperis,Hesperis
sleep–bearing,soporifer
the poppy,papaver
"pertaining to magi, or magicians",magicus
funeral pile,pyra
"bed, couch",lectus
paleness,pallor
to weave in front; to fringe,praetexo
funereal,funereus
the future,futurum
Chaos (only in nom. and acc. sing.),Chaos
of threefold birth,tergeminus
Hecate,Hecate
of Avernus (lake); Avernian,Avernus
"scythe, sickle",falx
to harvest,meto
pubescent,pubens
"to snatch, carry off",praeripio
mill; (meton.),mola
to loosen,recingo
"clear, liquid, melodious",liquidus
bramble,dumus
still,silens
to wave,fluctuo
to place one’s self in or upon a thing; (w. dat.),insisto
one who asks,procus
to laugh at,irrideo
to refuse scornfully,dedignor
therefore,igitur
"favor, influence, gratitude",gratia
ruined,perditus
Pertaining to Laomedon,Laomedonteus
lacking,expers
to pass,dego
pertaining to Sychaeus; Sychaean,Sychaeus
complaining; moaning; groans,questus
color,color
to incite,concito
to be wholly shining; shine on every side; be lighted up; shine,conluceo
come on! away!,heia
"changeable, fickle",mutabilis
to be awake,vigilo
scabbard,vagina
flashing (like lightening),fulmineus
that which holds back; a halter,retinaculum
"burning, heat, eagerness",ardor
Tithonus (name),Tithonus
mirror,speculum
to grow white,albesco
an oarsman,remex
to be yellow; p.,flaveo
wow!,pro
new comer,advena
"naval, pertaining to ships",navalis
"adorn, become, grace; (impers.) it is fitting (to)",decet
gangway between the rowing benches of ship; the inferior,forus
"a crossroads, gutter (often pl.)",trivium
boundary line; limit,terminus
bold; reckless,audax
"to annoy, attack",vexo
exiled,extorris
to implore,imploro
to hand over; report,trado
to call down good or,imprecor
as soon as possible,quam
Barce,Barce
pertaining to a river or stream,fluvialis
an expiation; expiatory,piaculum
funeral pyre,rogus
old woman,anilis
thing begun; an undertaking,coeptum
"savage, frantic",efferus
spot,macula
to pour between; besprinkle; mark,interfundo
cheek,gena
to burst in,irrumpo
"raging, frenzied",furibundus
to loosen completely,exsolvo
very clear,praeclarus
excessively,nimium
"to apply with pressure, imprint",imprimo
wailing,lamenta
yelling,ululatus
"fingernail; claw, talon",unguis
fist,pugnus
"to call, shout",clamo
fraud,fraus
breathing; breath,halitus
half alive,semianimis
to make dry,sicco
the elbow,cubitum
difficult,difficilis
"downfall, a going down, death",obitus
Iris,Iris
Proserpina,Proserpina
to condemn,damno
"dew–covered, dewy",roscidus
to fly down,devolo
Dis,Dis
to slip,dilabor
why?,quianam
to bend,obliquo
to make a solemn promise,spondeo
across the path or course,transversus
"evening, evening star",vesper
to rise together,consurgo
an arrival,adventus
Libyan,Libystis
she–bear; bear,ursa
Crinisus,Crinisus
"to summon, call",advoco
"of the year, yearly",annuus
respected,honoratus
"to catch, seize, understand",deprehendo
"procession, parade; the set piece at a banquet",pompa
every year,quotannis
"to sire, create",genero
to apply,adhibeo
"bloody, raw, dyspeptic",crudus
thongs or straps loaded with lead (for boxing); girdle of Venus,caestus
Helymus,Helymus
mature,maturus
pure undiluted,merus
large drinking vessel with two handles; bowl,carchesium
to be well; imperative,salveo
circle,gyrus
7 each,septeni
"gently, calmly",placide
scale of fishes,squama
"lightning, flash, brightness",fulgor
"smooth, slippery",levis
to devour,depasco
the birth–spirit; a tutelar deity,genius
to be or make black; p.,nigro
Acheron,Acheron
live coal,pruna
Phaëthon,Phaethon
bordering,finitimus
circle,circus
a talent,talentum
to enter,ineo
a sea–monster,pristis
Memmius,Memmius
Chimaera,Chimaera
threefold,triplex
line (of poetry),versus
of Sergius,Sergius
a Centaur,Centaurus
Cluentius,Cluentius
"Corus or Caurus, the northwest wind",Caurus
open to the sun,apricus
"a gull, seabird",mergus
of the poplar tree,populeus
to become bright,nitesco
to leap or spring forth,prosilio
"to lead to, induce",adduco
"the arm, esp. the upper arm",lacertus
to cut,infindo
"beak, prow, speaker's platform",rostrum
"of a two–horse team, yoked",biiugus
charioteer,auriga
whip; a beating or blow with a whip,verber
to sound at once or together; sound loudly; resound,consono
to leap back or again,resulto
to plow,sulco
director,rector
Menoetes,Menoetes
on the left,laeva
small palm; an oar–blade,palmula
to cast down,deturbo
"helm, tiller",gubernaculum
"nail, purple stripe on the tunic ",clavus
"moist, wet; drunk",madidus
the top,summum
to vomit back or up; vomit,revomo
to go before; p.,praeeo
striving to equal,aemulus
Malea,Malea
"following, pursuing",sequax
to make ashamed,pudeo
to draw from beneath; withdraw,subtraho
hard–breathing; puffing,anhelitus
to push up to,suburgeo
to run forth or forward,procurro
to rattle; creak,crepo
covered with iron,ferratus
pole,trudis
pole,contus
"full of holes, porous",latebrosus
pumice–stone,pumex
nest; brood,nidus
to strip,spolio
to goad on; incite,instigo
defendant,reus
"to cast forth, throw out, fling to the ground",proicio
Phorcus,Phorcus
Panopea,Panopea
Portunus,Portunus
"herald, auctioneer",praeco
"to make clear, reveal",declaro
to veil,advelo
"peculiar, special",praecipuus
purple; crimson,purpura
"Maeander, a river of Ionia",Maeander
full of leaves,frondosus
to pant,anhelo
barking; baying,latratus
Demoleos,Demoleos
to take away from,detraho
to give; concede,dono
means of protection; defense,tutamen
Phegeus,Phegeus
Sagaris,Sagaris
to lean or brace one’s self against; struggle,conitor
to wander about,palor
"reddish, crimson",Puniceus
to bind round; crown,evincio
ribbon,taenia
"disabled, maimed",debilis
"slanting, indirect, covert",obliquus
half–dead,seminex
"torn, mangled",lacer
"traveler, wayfarer",viator
twisting,tortus
"limping, lame",claudus
to hold back; restrain,retento
to lean upon with the idea of effort; struggle forward on,nixor
to wind together,plico
female slave,serva
Cretan woman,Cressa
Pholoe,Pholoe
grassy,gramineus
sitting together; an assembly (others,consessus
to invite,invito
Nisus,Nisus
Euryalus,Euryalus
Diores,Diores
Salius,Salius
Patron,Patron
of Acarnania,Acarnan
of Arcadia,Arcadius
of Tegea; Tegean,Tegeaeus
Panopes,Panopes
"usual, customary",adsuetus
no one,nemo
"sharp point, sting, arrow",spiculum
olive,oliva
"metal disks, horse ornaments; ornaments",phalerae
Amazonian,Amazonius
encircle; fill,circumamplector
a belt,balteus
"tapering, polished",teres
"content, satisfied",contentus
the space between two stakes; an interval,intervallum
"the heel, shoe",calx
to come rapidly nearer,advento
to make wet,madefacio
"to be in doubt, waver",titubo
"mire, dung",fimus
hollow place; that part of the theater or circus which was occupied by the spectators,cavea
goodwill,favor
"to help, assist, support",adiuvo
to cry out; declare,proclamo
burdensome,onerosus
to it moves to pity,miseret
"wet, damp",udus
Didymaon,Didymaon
to unfasten,refigo
"to propose, announce",propono
comfort,solacium
Dares,Dares
Butes,Butes
Bebrycian; or Bithynian; of Bebrycia,Bebrycius
to strike,percello
to stretch forth; stretch,extendo
to stretch forth or out; extend,protendo
to lead in,induco
lively,alacer
"until what time, till when",quousque
Entellus,Entellus
green,viridans
"long–suffering, patient; hardy",patiens
to loiter,tardo
old age,senecta
to be blunt; (fig.),hebeo
to be cold,frigeo
exhausted,effetus
youthfulness; the age of youth; youthful vigor,iuventas
lead,plumbum
to sew or stitch in,insuo
Anchisiades,Anchisiades
Hercules,Hercules
to impart some foreign quality to an object; to taint,inficio
the brain,cerebrum
a descendant of Alceus,Alcides
old age,senectus
to throw back,reicio
finger,digitus
unfrightened,interritus
to provoke,lacesso
strong,valens
to attack,oppugno
"castle, fort",castellum
leaping upon; an assault,adsultus
to see beforehand; foresee,praevideo
Erymanthus,Erymanthus
to run to,accurro
madness,dementia
to take asunder; to separate,dirimo
on both sides,utroque
"thick, fat; crass, coarse",crassus
to cast forth; vomit,eiecto
to balance,libro
to break out or open; crush,effringo
standing pole; mast,malus
Hyrtacides,Hyrtacides
Hippocoon,Hippocoon
Eurytion,Eurytion
Pandarus,Pandarus
to sit or settle down,subsido
to bend in; bend,incurvo
to draw forth,depromo
"muscle, tendon; cord, string",nervus
to strike asunder,diverbero
"flaxen, pale yellow",lineus
"to strike; clap; approve, applaud",plaudo
to fall down; fall,decido
causing terror,terrificus
to run across; flash or shoot across,transcurro
to thunder at,attono
"without share, lot, or part",exsors
Thracian,Thracius
Cisseus,Cisseus
to call,appello
to prefer,praefero
not full grown,impubes
Epytides,Epytides
boyish,puerilis
troop,turma
to shine,luceo
to fasten before,praefigo
"flexible, pliant",flexilis
to turn round,obtorqueo
"circle or orbit; ring; chain; a group of people, an audience",circulus
to increase,augeo
of two colors,bicolor
Atys,Atys
of the Atii (a roman family),Attius
"shining white, clear, bright",candidus
scourge or whip,flagellum
to run apart; to ride in different directions,discurro
running back; return; retreat,recursus
to hinder,impedio
the Labyrinth,Labyrinthus
not overtaken,indeprensus
that can not be gone over again,inremeabilis
of Carpathus (island),Carpathius
ancient,priscus
"forward, of space, time, or of mental operations, far off",porro
"thus far, so far, of space and time",hactenus
to fill; glut,saturo
crossway; by–path or narrow way; pass,trames
a Trojan woman,Troas
the seashore,acta
to harm,noceo
Beroe,Beroe
of Tmaros (mountain),Tmarius
Doryclus,Doryclus
to measure out or off,emetior
unfortunate,infaustus
to push with the horns; move quickly hither and thither; shake,corusco
to amaze,stupefacio
"birth, age (used only in the abl.)",natus
Pyrgo,Pyrgo
"malignant, wicked, malicious, grudging",malignus
to look at,specto
wedge,cuneus
Eumelus,Eumelus
pertaining to a horseman,equester
to hold back,retineo
to hasten,accelero
in anywhere,sicubi
completely hollow,concavus
on that account,idcirco
the coarse part of flax; the calking of a ship; tow,stuppa
to vomit; belch,vomo
"vapor, steam; heat",vapor
to be useful,prosum
hating much; usually w. an obj. acc.; hostile,exosus
"to emit, bring forth",edo
high place; height,arduum
to become wet; drip,madesco
Nautes,Nautes
to one begins; he begins to speak,infit
to draw back,retraho
not strong,invalidus
Acesta,Acesta
to carry up; (pass.),subveho
"to drive off, expel",depello
gathered,lectus
to war to the end; to put down by war; subdue,debello
coming together; conflict,congressus
charming,amoenus
Elysium,Elysium
"panting, gasping",anhelus
"to snatch forth, rush forth",proripio
Lar; household god,Lar
an incense box,acerra
"to fetch, summon",arcesso
to teach completely; communicate,edoceo
to transfer by writing; enroll,transcribo
boat,navigium
"lively, vigorous",vividus
"to mark out, arrange",designo
plough,aratrum
forum,forum
pertaining to Eryx,Erycinus
of Idalius; Idalian,Idalius
of Anchises,Anchiseus
curved forward,procurvus
endurable,tolerabilis
having common blood; kindred,consanguineus
young bullock,vitulus
ewe–lamb,agna
that can be satisfied,exsaturabilis
to make soft or mild; to soothe,mitigo
to break in; break,infringo
to eat out,exedo
to take away completely; annihilate,perimo
not long ago,nuper
witness,testis
pertaining to Aeolus,Aeolius
"shamefully, foully",foede
Laurentine,Laurens
tamer,domitor
to deprive of life; p.,exanimo
to fasten upon; drive,impingo
to roll out or forth,evolvo
violating one's oath,periurus
Avernus (lake),Avernus
to stroke; calm,permulceo
thundering; the thunderer (an epithet of Jupiter),tonans
whale or other large sea creature,cetus
Glaucus,Glaucus
