SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text
mare,Noun,61
superus,Adjective,113
tres,Number,20
Eurus,Noun,8
a,Preposition,197
altum,Noun,28
in,Preposition,769
brevis,Adjective,14
et,Conjunction,2083
syrtis,Noun,3
urgeo,Verb,23
miserabilis,Adjective,4
video,Verb,214
inlido,Verb,5
que,Conjunction,3212
vadum,Noun,20
atque,Conjunction,293
agger,Noun,23
cingo,Verb,35
arena,Noun,25
unus,Number,100
qui,Pronoun,766
Lycius,Adjective,8
fidus,Adjective,23
que,Conjunction,3212
veho,Verb,24
Orontes,Noun,3
ipse,Pronoun,289
ante,Preposition,102
oculus,Noun,88
ingens,Adjective,168
a,Preposition,197
vertex,Noun,40
pontus,Noun,30
in,Preposition,769
puppis,Noun,43
ferio,Verb,20
excutio,Verb,22
pronus,Adjective,10
que,Conjunction,3212
magister,Noun,12
volvo,Verb,53
in,Preposition,769
caput,Noun,84
at,Conjunction,146
ille,Pronoun,379
ter,Number,38
fluctus,Noun,44
ibidem,Adverb,1
torqueo,Verb,43
ago,Verb,102
circum,Preposition,74
et,Conjunction,2083
rapidus,Adjective,27
voro,Verb,1
aequor,Noun,89
vertex,Noun,40
appareo,Verb,17
rarus,Adjective,8
no,Verb,4
in,Preposition,769
gurges,Noun,20
vastus,Adjective,46
arma,Noun,279
vir,Noun,170
tabula,Noun,2
que,Conjunction,3212
et,Conjunction,2083
Troius,Adjective,22
gaza,Noun,3
per,Preposition,351
unda,Noun,109
iam,Adverb,250
validus,Adjective,16
Ilioneus,Noun,8
navis,Noun,46
iam,Adverb,250
fortis,Adjective,41
Achates,Noun,21
et,Conjunction,2083
qui,Pronoun,766
veho,Verb,24
Abas,Noun,4
et,Conjunction,2083
qui,Pronoun,766
grandaevus,Adjective,1
Aletes,Noun,3
vinco,Verb,59
hiems,Noun,13
laxus,Adjective,4
latus,Noun,36
compages,Noun,3
omnis,Adjective,330
accipio,Verb,62
inimicus,Adjective,26
imber,Noun,13
rima,Noun,2
que,Conjunction,3212
fatisco,Verb,2
interea,Adverb,55
magnus,Adjective,282
misceo,Verb,45
murmur,Noun,13
pontus,Noun,30
emitto,Verb,5
que,Conjunction,3212
hiems,Noun,13
sentio,Verb,16
Neptunus,Noun,15
et,Conjunction,2083
inferus,Adjective,46
stagnum,Noun,9
refundo,Verb,4
vadum,Noun,20
graviter,Adverb,8
commoveo,Verb,6
et,Conjunction,2083
altum,Noun,28
prospicio,Verb,16
superus,Adjective,113
placidus,Adjective,27
caput,Noun,84
extollo,Verb,6
unda,Noun,109
disicio,Verb,12
Aeneas,Noun,238
totus,Adjective,103
video,Verb,214
aequor,Noun,89
classis,Noun,62
fluctus,Noun,44
opprimo,Verb,2
Troes,Noun,27
caelum,Noun,142
que,Conjunction,3212
ruina,Noun,16
nec,Conjunction,331
lateo,Verb,17
dolus,Noun,26
frater,Noun,40
Iuno,Noun,56
et,Conjunction,2083
ira,Noun,65
Eurus,Noun,8
ad,Preposition,322
sui,Pronoun,303
Zephyrus,Noun,8
que,Conjunction,3212
voco,Verb,110
dehinc,Adverb,8
talis,Pronoun,148
for,Verb,93
tantus,Adjective,118
ne,Adverb,63
vos,Pronoun,62
genus,Noun,70
teneo,Verb,133
fiducia,Noun,10
vester,Adjective,34
iam,Adverb,250
caelum,Noun,142
terra,Noun,166
que,Conjunction,3212
meus,Adjective,80
sine,Preposition,29
numen,Noun,62
ventus,Noun,87
misceo,Verb,45
et,Conjunction,2083
tantus,Adjective,118
audeo,Verb,38
tollo,Verb,69
moles,Noun,30
qui,Pronoun,766
ego,Pronoun,389
sed,Conjunction,146
moveo,Verb,51
praesto,Verb,4
compono,Verb,16
fluctus,Noun,44
post,Preposition,31
ego,Pronoun,389
non,Adverb,259
similis,Adjective,21
poena,Noun,38
commissum,Noun,1
luo,Verb,6
maturo,Verb,1
fuga,Noun,54
rex,Noun,132
que,Conjunction,3212
hic,Pronoun,694
dico,Verb,149
vester,Adjective,34
non,Adverb,259
ille,Pronoun,379
imperium,Noun,40
pelagus,Noun,44
saevus,Adjective,59
que,Conjunction,3212
tridens,Adjective,6
sed,Conjunction,146
ego,Pronoun,389
sors,Noun,27
do,Verb,317
teneo,Verb,133
ille,Pronoun,379
immanis,Adjective,47
saxum,Noun,78
vester,Adjective,34
Eurus,Noun,8
domus,Noun,85
ille,Pronoun,379
sui,Pronoun,303
iacto,Verb,31
in,Preposition,769
aula,Noun,3
Aeolus,Noun,6
et,Conjunction,2083
claudo,Verb,20
ventus,Noun,87
carcer,Noun,4
regno,Verb,8
sic,Adverb,162
aio,Verb,46
et,Conjunction,2083
dictum,Noun,93
cito,Adverb,2
tumidus,Adjective,12
aequor,Noun,89
placo,Verb,5
colligo,Verb,16
que,Conjunction,3212
fugo,Verb,5
nubes,Noun,43
sol,Noun,37
que,Conjunction,3212
reduco,Verb,14
Cymothoe,Noun,1
simul,Adverb,63
et,Conjunction,2083
Triton,Noun,4
adnitor,Verb,8
acutus,Adjective,10
detrudo,Verb,6
navis,Noun,46
scopulus,Noun,27
levo,Verb,14
ipse,Pronoun,289
tridens,Adjective,6
et,Conjunction,2083
vastus,Adjective,46
aperio,Verb,34
syrtis,Noun,3
et,Conjunction,2083
tempero,Verb,3
aequor,Noun,89
atque,Conjunction,293
rota,Noun,14
superus,Adjective,113
levis,Adjective,26
perlabor,Verb,2
unda,Noun,109
ac,Conjunction,112
velut,Adverb,29
magnus,Adjective,282
in,Preposition,769
populus,Noun,43
cum,Conjunction,164
saepe,Adverb,22
coorior,Verb,2
sum,Verb,531
seditio,Noun,2
saevio,Verb,15
que,Conjunction,3212
animus,Noun,162
ignobilis,Adjective,2
vulgus,Noun,9
iam,Adverb,250
que,Conjunction,3212
fax,Noun,21
et,Conjunction,2083
saxum,Noun,78
volo,Verb,54
furor,Noun,24
arma,Noun,279
ministro,Verb,8
tum,Adverb,248
pietas,Noun,22
gravis,Adjective,31
ac,Conjunction,112
meritum,Noun,4
si,Conjunction,206
forte,Adverb,35
vir,Noun,170
quis,Pronoun,85
conspicio,Verb,15
sileo,Verb,10
arrigo,Verb,21
que,Conjunction,3212
auris,Noun,25
asto,Verb,19
ille,Pronoun,379
rego,Verb,19
dictum,Noun,93
animus,Noun,162
et,Conjunction,2083
pectus,Noun,120
mulceo,Verb,7
sic,Adverb,162
cunctus,Adjective,45
pelagus,Noun,44
cado,Verb,36
fragor,Noun,9
aequor,Noun,89
postquam,Conjunction,37
prospicio,Verb,16
genitor,Noun,57
caelum,Noun,142
que,Conjunction,3212
inveho,Verb,9
aperio,Verb,34
flecto,Verb,20
equus,Noun,128
currus,Noun,51
que,Conjunction,3212
volo,Verb,54
do,Verb,317
lorum,Noun,8
secundus,Adjective,31
defessus,Adjective,4
Aeneades,Noun,18
qui,Pronoun,766
prope,Preposition,30
litus,Noun,127
cursus,Noun,73
contendo,Verb,13
peto,Verb,128
et,Conjunction,2083
Libya,Noun,12
verto,Verb,73
ad,Preposition,322
ora,Noun,50
sum,Verb,531
in,Preposition,769
secessus,Noun,2
longus,Adjective,125
locus,Noun,85
insula,Noun,8
portus,Noun,37
efficio,Verb,2
obiectus,Noun,1
latus,Noun,36
qui,Pronoun,766
omnis,Adjective,330
a,Preposition,197
altum,Noun,28
frango,Verb,18
in,Preposition,769
que,Conjunction,3212
sinus,Noun,19
scindo,Verb,13
sui,Pronoun,303
unda,Noun,109
reductus,Adjective,2
hinc,Adverb,86
atque,Conjunction,293
hinc,Adverb,86
vastus,Adjective,46
rupes,Noun,18
geminus,Adjective,41
que,Conjunction,3212
minor,Verb,12
in,Preposition,769
caelum,Noun,142
scopulus,Noun,27
qui,Pronoun,766
sub,Preposition,160
vertex,Noun,40
latus,Adjective,60
aequor,Noun,89
tutus,Adjective,27
sileo,Verb,10
tum,Adverb,248
silva,Noun,68
scaena,Noun,3
coruscus,Adjective,9
desuper,Adverb,9
horrens,Adjective,9
que,Conjunction,3212
ater,Adjective,71
nemus,Noun,37
immineo,Verb,6
umbra,Noun,69
frons,Noun,16
sub,Preposition,160
adversus,Adjective,50
scopulus,Noun,27
pendeo,Verb,28
antrum,Noun,24
intus,Preposition,15
aqua,Noun,19
dulcis,Adjective,23
vivus,Adjective,13
que,Conjunction,3212
sedile,Noun,3
saxum,Noun,78
nympha,Noun,23
domus,Noun,85
hic,Adverb,133
fessus,Adjective,33
non,Adverb,259
vinculum,Noun,22
navis,Noun,46
ullus,Adjective,49
teneo,Verb,133
uncus,Adjective,8
non,Adverb,259
adligo,Verb,2
ancora,Noun,4
morsus,Noun,8
huc,Adverb,53
septem,Number,14
Aeneas,Noun,238
colligo,Verb,16
navis,Noun,46
omnis,Adjective,330
e,Preposition,131
numerus,Noun,25
subeo,Verb,49
ac,Conjunction,112
magnus,Adjective,282
tellus,Noun,51
amor,Noun,78
egredior,Verb,7
optatus,Adjective,9
potior,Verb,12
Troes,Noun,27
arena,Noun,25
et,Conjunction,2083
sal,Noun,7
tabeo,Verb,1
artus,Noun,23
in,Preposition,769
litus,Noun,127
pono,Verb,56
ac,Conjunction,112
primum,Number,53
silex,Noun,5
scintilla,Noun,2
excudo,Verb,2
Achates,Noun,21
suscipio,Verb,7
que,Conjunction,3212
ignis,Noun,91
